Track ID,Entry time,Exit Time,Movement Tracks
1,5,120,217,38,221,36,227,32,228,29,230,25,243,21,242,19
3,5,120,135,52,146,48,153,41,160,35,164,32,172,28,179,27,191,27
26,5,140,49,503,55,503,61,507,78,528,104,546,108,552
38,40,140,619,591,617,582,614,574,609,564,603,555
42,50,140,220,21,223,18,227,16
11,5,165,1027,120,1030,123,1033,127,1033,135,1034,137,1036,145,1042,150,1047,154,1052,158,1051,168,1054,173,1063,153,1063,171,1067,196,1069,200,1066,206,1059,215
45,70,165,686,588,684,579,682,567,685,556
48,75,170,399,592,398,584,405,571,397,563
22,5,175,846,315,852,323,856,336,862,341,864,354,869,362,877,379,883,391,891,401,896,418,901,424,909,447,919,459,926,464,930,487,937,494,947,522,957,539,964,550
9,5,180,685,107,681,105,681,101,680,97,681,84,679,80,678,80,677,76,676,72,676,67,672,60,670,55,669,53,667,48,669,41,669,39,669,33,659,33,656,31,652,29
55,95,195,140,24,139,29,136,39,140,39,143,37
7,5,200,987,80,983,107,985,108,984,127,985,127,987,129,988,149,991,147,1000,172,999,181,1009,190,1017,195,1024,196,1025,206,1028,219,1032,225,1046,223,1046,242,1051,248,1055,262,1061,264,1063,285,1067,294
16,5,205,839,226,841,235,846,243,851,254,856,266,861,274,868,289,875,299,879,316,885,323,890,336,899,348,905,367,909,377,928,409,940,422,947,440,958,458,984,520,993,533,1011,547,1019,563
17,5,205,161,295,158,311,158,316,154,322,150,336,148,343,149,358,146,369,140,376,138,394,133,406,129,416,127,435,118,438,111,459,108,478,99,482,99,523,98,532,91,543,79,554,74,562,72,570,69,580,60,587
25,5,205,822,448,813,447,804,446,785,445,771,445,757,440,742,451,729,456,715,457,701,460,693,459,682,464,674,470,661,484,649,486,636,502,628,508,618,524,613,545,602,551,594,561,585,566,573,572,572,581,570,587
50,85,210,1069,133,1068,136,1069,146,1069,145,1070,154,1070,156,1069,158,1069,168,1069,169,1071,174
14,5,215,417,167,416,159,413,151,411,143,409,137,411,131,410,125,411,118,409,118,409,106,411,101,412,95,413,89,411,83,413,74,413,72,413,65,412,61,410,57,411,52,411,51,409,43,408,39,407,34,408,31,407,26
